First Name;MI;Last Name;Age;Hair Color;Eye Color;Sisters;Brothers;No. of Pets;Types of Pets;Occupation;Education;Note
Zillah;T;Valdez;45;Brown;Black;2;1;6;Unknown;Botanist;Princetonne;
Basil;W;Johnson;25;Black;Black;0;4;Unk.;cats;Singer;Ventnor Univ.;
Ernest;R;Nichols;29;Orange;Brown;0;5;4;birds, dogs;Anesthiesiologist;Nelson's Hall;
Titus;E;Phelps;69;Green;Black;2;2;9;Unknown;Tutor;Ventnor Univ.;
Titus;L;Romanov;41;Brown;Red;2;3;0;None;Sysop;night school;
Desmond;L;Brown;41;Black;Green;4;5;6;Unknown;Busser;night school;
Kate;E;Morrison;72;Grey;Green;0;6;Unk.;cats;Valet;Ventnor Univ.;
Basil;B;Kildare;54;Red;Brown;0;4;0;None;Painter;Ventnor Univ.;
Desmond;Y;Nichols;57;Green;Brown;2;2;10;dogs, hamsters;Pilot;night school;
Clara;T;Lambert;24;Brown;Black;2;1;5;dogs, fish;Actor;Ventnor Univ.;
Basil;O;Jackson;44;Grey;Black;4;5;1;hamsters;Course Scheduler;Ventnor Univ.;
Hector;N;Thomas;67;Grey;Red;0;6;5;dogs, fish;Docent;Ventnor Univ.;
Leo;R;Johnson;29;Red;Grey;0;4;5;dogs, fish;Accountant;Lodge of Kent;
Winnie;S;Grant;31;Green;Green;3;1;4;birds, dogs;Assistant;Ventnor Univ.;
George;Y;Adams;35;Brown;Black;2;1;9;Unknown;Mechanic;Ventnor Univ.;
Titus;S;Onassis;51;Black;Green;0;3;2;fish, hamsters;Zookeeper;Ventnor Univ.;
Maud;R;Williams;71;Red;Green;1;1;9;Unknown;Director;;
Basil;I;Morrison;63;Blue;Brown;0;4;Unk.;cats;Journalist;Nelson's Hall;
Kate;W;Onassis;25;Grey;Black;2;1;Unk.;cats;Secretary;Saint George;
Amy;Y;Lambert;78;Blue;Black;0;5;0;None;Operator;Princetonne;
Vera;I;Watanabe;19;Green;Violet;4;5;0;None;Maid;night school;
Fanny;R;Garrison;37;Grey;Black;1;4;5;dogs, fish;Journalist;Ventnor Univ.;
James;A;Watanabe;66;Blue;Blue;3;1;Unk.;cats;Mechanic;Ventnor Univ.;
Clara;M;Williams;53;Brown;Red;2;3;2;fish, hamsters;Assistant;Nelson's Hall;
Prue;N;Phelps;20;Green;Green;1;1;10;dogs, hamsters;Lumberjack;Ventnor Univ.;
Ida;W;Phelps;25;Orange;Blue;2;2;5;dogs, fish;Cook;Saint George;
George;I;Black;39;Orange;Grey;0;3;Unk.;cats;Unemployed;Ventnor Univ.;
Prue;B;Siebert;54;Green;White;0;6;4;birds, dogs;Butler;Princetonne;
Maud;W;Onassis;27;Brown;Brown;0;6;2;fish, hamsters;Professor;Ventnor Univ.;
Victor;T;Kildare;56;Grey;Red;2;1;8;birds, fish;Waiter;night school;
Maud;B;Dupont;54;Black;Grey;1;4;2;fish, hamsters;Examiner;Ventnor Univ.;
Leo;M;Jackson;53;Green;Black;0;6;10;dogs, hamsters;Auditor;Nelson's Hall;
Clara;B;Quincy;54;Red;Brown;0;3;8;birds, fish;Anesthiesiologist;Ventnor Univ.;
Desmond;W;Young;25;Brown;Black;3;5;10;dogs, hamsters;Nurse;Princetonne;
Maud;O;Adams;28;Blue;Grey;1;4;Unk.;cats;Director;Ventnor Univ.;
Una;O;Phelps;28;Green;Green;3;1;3;birds;Zookeeper;Ventnor Univ.;
Titus;I;Thomas;63;Brown;Brown;3;1;7;birds, hamsters;Nurse;Nelson's Hall;
Kate;S;Richards;51;Red;Green;2;2;2;fish, hamsters;Reporter;night school;
Fanny;W;Lambert;27;Green;White;2;2;6;Unknown;Maid;Ventnor Univ.;
Desmond;L;Enfield;41;Blue;Grey;1;1;Unk.;cats;Editor;Ventnor Univ.;
Titus;N;Watanabe;20;Blue;Black;2;2;1;hamsters;Teacher;Ventnor Univ.;
Yorick;R;Jackson;71;Brown;Black;2;3;Unk.;cats;Curator;Ventnor Univ.;
Kate;N;Dupont;47;Black;Green;1;4;10;dogs, hamsters;Zookeeper;Nelson's Hall;
Desmond;O;Sindel;44;Grey;Black;3;5;0;None;Author;Ventnor Univ.;
Yorick;P;Michaels;58;Green;White;1;1;4;birds, dogs;Professor;night school;
Kate;R;Nichols;29;Orange;White;4;5;Unk.;cats;Zookeeper;Nelson's Hall;
Victor;A;Thomas;66;Brown;Brown;3;5;2;fish, hamsters;Analyst;Nelson's Hall;
Clara;T;Charles;65;Grey;Red;4;1;Unk.;cats;Teacher;Ventnor Univ.;
Zillah;M;Nabors;53;Orange;Grey;1;4;Unk.;cats;Actor;Ventnor Univ.;
Kate;Y;Kildare;57;Blue;Brown;3;5;Unk.;cats;Botanist;night school;
Leo;C;Charles;68;Green;White;1;1;8;birds, fish;Operator;Ventnor Univ.;
Xerxes;B;Thomas;54;Black;Red;0;3;2;fish, hamsters;Cook;Ventnor Univ.;
Titus;I;Brown;46;Black;Grey;0;6;Unk.;cats;Unemployed;Ventnor Univ.;
Maud;F;Howards;70;Black;Grey;0;5;9;Unknown;Author;Princetonne;
Victor;N;Young;76;Black;Red;1;1;6;Unknown;Journalist;night school;
Susan;L;Siebert;40;Grey;Red;2;2;4;birds, dogs;Mechanic;Ventnor Univ.;
Neville;L;Howards;34;Brown;Black;0;3;9;Unknown;Teacher;Ventnor Univ.;
Hector;F;Ebbers;70;Green;Black;2;3;7;birds, hamsters;Curator;night school;
Winnie;Y;Lawrence;55;Green;White;0;4;10;dogs, hamsters;Examiner;night school;
Olive;A;Lawrence;38;Blue;Blue;4;5;Unk.;cats;Reporter;Ventnor Univ.;
Ernest;C;Adams;68;Brown;Black;2;3;8;birds, fish;Dishwasher;night school;
George;C;Lawrence;68;Red;Green;1;1;9;Unknown;Assistant;Princetonne;
Neville;Q;Hanks;73;Blue;Grey;0;5;9;Unknown;Accountant;Ventnor Univ.;
Desmond;Y;Siebert;57;Brown;Grey;4;5;6;Unknown;Mechanic;Ventnor Univ.;
Victor;L;Nabors;41;Black;Black;0;6;3;birds;Anesthiesiologist;night school;
Hector;E;Onassis;61;Brown;Grey;2;1;0;None;Doctor;Ventnor Univ.;
Susan;I;Nabors;46;Red;Green;3;5;Unk.;cats;Clerk;night school;
Xerxes;R;Unser;37;Black;Green;0;4;8;birds, fish;Cook;night school;
Ernest;R;Yount;37;Green;Violet;0;3;6;Unknown;Curator;night school;
Una;L;Grant;41;Blue;Brown;3;3;2;fish, hamsters;Botanist;night school;
Quentin;C;O'Leary;68;Blue;Brown;4;5;0;None;Lumberjack;Ventnor Univ.;
Zillah;S;Enfield;51;Green;Brown;1;1;5;dogs, fish;Pilot;Alpacawarts;
Hector;T;O'Leary;65;Orange;Blue;3;1;6;Unknown;Librarian;Princetonne;
Leo;S;Valdez;31;Orange;Brown;0;4;8;birds, fish;Illustrator;Nelson's Hall;
Hector;Y;Dupont;23;Blue;Brown;2;1;8;birds, fish;Sysop;Ventnor Univ.;
Maud;S;Williams;31;Blue;Black;2;1;Unk.;cats;Director;Ventnor Univ.;
Quentin;O;Ebbers;28;Red;Green;1;1;Unk.;cats;Administrator;Ventnor Univ.;
Fanny;B;Brown;54;Orange;Blue;0;3;Unk.;cats;Assistant;Ventnor Univ.;
Susan;Y;Isaacson;55;Orange;Grey;1;4;3;birds;Examiner;Saint George;
Maud;L;Grant;41;Brown;Black;1;1;5;dogs, fish;Accountant;Ventnor Univ.;
Una;P;Franklin;58;Blue;Brown;0;5;6;Unknown;Sysop;Nelson's Hall;
Olive;I;Xerxes;19;Green;Green;4;1;4;birds, dogs;Clerk;night school;
Basil;U;Sindel;52;Orange;Green;0;3;10;dogs, hamsters;Examiner;Ventnor Univ.;
Winnie;B;Unser;18;Red;Brown;0;5;9;Unknown;Clerk;Nelson's Hall;
Clara;R;Michaels;37;Brown;Brown;4;5;5;dogs, fish;Entrepreneur;Ventnor Univ.;
Desmond;C;Onassis;68;Red;Brown;4;5;6;Unknown;Cook;Lodge of Kent;
Winnie;I;Thomas;19;Green;Green;0;6;5;dogs, fish;Auditor;Ventnor Univ.;
Tallulah;R;Richards;22;Orange;Blue;2;2;0;None;Librarian;night school;
Ernest;P;Sindel;58;Grey;Black;0;4;Unk.;cats;Waiter;Ventnor Univ.;
Prue;A;Romanov;66;Black;Green;4;5;0;None;Lumberjack;Ventnor Univ.;
Titus;L;Enfield;41;Grey;Red;4;5;3;birds;Nurse;Ventnor Univ.;
Neville;Y;O'Leary;35;Green;Brown;0;6;3;birds;Doctor;night school;
George;N;Siebert;33;Green;White;3;3;5;dogs, fish;Waiter;Lodge of Kent;
Neville;E;Johnson;75;Red;Green;1;4;5;dogs, fish;Cook;Ventnor Univ.;
Quentin;U;Isaacson;74;Green;White;4;5;9;Unknown;Dishwasher;night school;
Titus;I;Quincy;46;Grey;Green;3;5;8;birds, fish;Docent;Ventnor Univ.;
Titus;E;Queen;69;Green;White;1;1;8;birds, fish;Building Inspector;Princetonne;
Olive;N;Lambert;33;Orange;White;3;1;Unk.;cats;Zookeeper;Ventnor Univ.;
Yorick;C;Thomas;77;Green;Green;4;5;6;Unknown;Examiner;Ventnor Univ.;
Yorick;O;Black;32;Red;Green;2;3;8;birds, fish;Busser;Ventnor Univ.;
Xerxes;A;Grant;21;Green;White;3;3;6;Unknown;Nurse;night school;
Quentin;Y;Valdez;23;Green;Violet;1;1;Unk.;cats;Analyst;Ventnor Univ.;
Susan;A;Ebbers;21;Brown;Grey;3;3;Unk.;cats;Director;Nelson's Hall;
Kate;Y;O'Leary;55;Red;Brown;3;1;4;birds, dogs;Administrator;Ventnor Univ.;
Alfonse;O;Ximenez;44;Black;Grey;4;1;2;fish, hamsters;Chef;Princetonne;
Basil;E;Morrison;42;Brown;Grey;0;3;4;birds, dogs;Actor;Ventnor Univ.;
Xerxes;R;Nabors;37;Grey;Black;4;1;7;birds, hamsters;Painter;Ventnor Univ.;
Yorick;O;Young;32;Red;Grey;0;3;9;Unknown;Accountant;Ventnor Univ.;
Una;Y;Dupont;57;Green;Black;0;6;1;hamsters;Auditor;Ventnor Univ.;
George;T;Brown;56;Green;Black;1;1;Unk.;cats;Designer;Ventnor Univ.;
Hector;N;Michaels;76;Brown;Grey;1;4;9;Unknown;Journalist;Ventnor Univ.;
Basil;N;Grant;20;Blue;Grey;0;4;Unk.;cats;Accountant;Ventnor Univ.;
Winnie;A;Valdez;38;Orange;Green;1;4;Unk.;cats;Docent;Ventnor Univ.;
Yorick;N;Queen;67;Brown;Brown;3;1;0;None;Tutor;Ventnor Univ.;
Ida;S;O'Leary;64;Green;Black;0;4;0;None;Auditor;Ventnor Univ.;
Zillah;R;Black;29;Brown;Grey;3;3;5;dogs, fish;Busser;Ventnor Univ.;
Ida;I;Ximenez;46;Brown;Black;3;5;3;birds;Clerk;Princetonne;
James;R;Kildare;37;Green;Green;3;1;4;birds, dogs;Nurse;Saint George;
James;T;Johnson;56;Red;Brown;1;4;6;Unknown;Maid;Ventnor Univ.;
Neville;T;Isaacson;65;Green;Black;1;4;Unk.;cats;Sysop;Ventnor Univ.;
Winnie;I;Adams;19;Black;Green;2;1;9;Unknown;Doctor;Princetonne;
Hector;N;Siebert;47;Red;Green;2;3;7;birds, hamsters;Illustrator;Ventnor Univ.;
Ida;Y;Thomas;35;Red;Green;0;5;9;Unknown;Busser;Ventnor Univ.;
Victor;L;Michaels;41;Red;Grey;3;3;4;birds, dogs;Librarian;Ventnor Univ.;
Quentin;B;Ximenez;36;Black;Green;1;1;3;birds;Wildcat;Ventnor Univ.;
Desmond;B;Xerxes;54;Grey;Red;1;4;Unk.;cats;Entrepreneur;night school;
George;E;O'Leary;42;Brown;Black;2;1;Unk.;cats;Administrator;Ventnor Univ.;
Quentin;T;Ximenez;56;Brown;Grey;0;6;10;dogs, hamsters;Analyst;Ventnor Univ.;
Clara;E;Lambert;61;Brown;Brown;2;2;4;birds, dogs;Assistant;Princetonne;
Kate;B;Thomas;36;Green;Green;0;3;5;dogs, fish;Curator;Saint George;
Victor;R;Unser;60;Orange;Blue;3;1;2;fish, hamsters;Librarian;Ventnor Univ.;
Susan;D;Islington;30;Blue;Black;3;5;10;dogs, hamsters;Chef;Ventnor Univ.;
Una;C;Lambert;77;Blue;Black;4;1;8;birds, fish;Zookeeper;Nelson's Hall;
Hector;R;Thomas;29;Green;White;4;5;6;Unknown;Auditor;Ventnor Univ.;
Zillah;N;Sindel;33;Orange;Blue;0;6;0;None;Nurse;Ventnor Univ.;
Leo;U;Johnson;52;Orange;Brown;0;3;4;birds, dogs;Tutor;Ventnor Univ.;
Basil;N;Xerxes;20;Black;Green;4;5;0;None;Waiter;Ventnor Univ.;
Titus;R;Hanks;37;Brown;Red;1;4;7;birds, hamsters;Journalist;Saint George;
Prue;O;Sindel;44;Red;Green;2;1;Unk.;cats;Illustrator;night school;
Una;E;Enfield;49;Brown;Red;4;1;0;None;Maid;Princetonne;
Una;O;Enfield;26;Green;Violet;4;5;4;birds, dogs;Butler;Ventnor Univ.;
Titus;R;Grant;29;Red;Brown;0;5;Unk.;cats;Therapist;Ventnor Univ.;
Victor;T;Williams;45;Blue;Brown;3;3;8;birds, fish;Zookeeper;Ventnor Univ.;
Neville;D;Quincy;30;Brown;Green;2;3;Unk.;cats;Analyst;Ventnor Univ.;
Quentin;S;Grant;62;Red;Grey;1;4;3;birds;Singer;Ventnor Univ.;
James;E;Hanks;49;Red;Green;2;1;7;birds, hamsters;Reporter;Ventnor Univ.;
Una;E;Valdez;61;Blue;Grey;3;5;3;birds;Designer;Ventnor Univ.;
Victor;Y;Johnson;35;Black;Red;0;6;10;dogs, hamsters;Administrator;Ventnor Univ.;
Neville;R;Enfield;71;Orange;Green;1;1;6;Unknown;Auditor;Ventnor Univ.;
Victor;Y;Watanabe;35;Blue;Blue;3;5;5;dogs, fish;Designer;Ventnor Univ.;
Clara;N;Phelps;67;Red;Grey;0;4;Unk.;cats;Painter;Ventnor Univ.;
Basil;Y;Black;57;Grey;Black;4;5;2;fish, hamsters;Singer;Ventnor Univ.;
James;N;Siebert;20;Blue;Blue;4;5;Unk.;cats;Secretary;Ventnor Univ.;
Fanny;R;Phelps;29;Blue;Brown;4;5;2;fish, hamsters;Librarian;night school;
Neville;S;Franklin;51;Red;Brown;0;5;Unk.;cats;Butler;night school;
Basil;W;Isaacson;27;Orange;Brown;2;1;8;birds, fish;Chef;night school;
Neville;S;Michaels;62;Green;White;2;1;3;birds;Administrator;Ventnor Univ.;
Ernest;I;Franklin;48;Brown;Red;3;5;Unk.;cats;Wildcat;Ventnor Univ.;
Desmond;T;Ebbers;24;Grey;Red;2;1;Unk.;cats;Therapist;Ventnor Univ.;
Rhoda;B;Yount;54;Brown;Brown;3;5;2;fish, hamsters;Chef;Nelson's Hall;
Ernest;N;Unser;76;Blue;Blue;3;3;2;fish, hamsters;Clerk;Ventnor Univ.;
Desmond;R;Grant;37;Black;Red;1;4;10;dogs, hamsters;Director;Nelson's Hall;
Prue;N;Grant;47;Red;Brown;0;4;4;birds, dogs;Journalist;Ventnor Univ.;
Prue;I;Islington;48;Orange;Brown;0;6;7;birds, hamsters;Journalist;night school;
Ernest;O;Onassis;28;Grey;Green;2;2;8;birds, fish;Pilot;Duke Academy;
Fanny;W;Dupont;27;Orange;Blue;2;2;1;hamsters;Cook;Nelson's Hall;
Susan;A;Grant;21;Green;Brown;0;6;Unk.;cats;Lumberjack;night school;
Desmond;E;Nichols;59;Brown;Brown;0;6;3;birds;Assistant;Alpacawarts;
Desmond;R;Howards;60;Brown;Black;2;3;Unk.;cats;Auditor;night school;
Hector;R;Nabors;29;Black;Black;2;1;3;birds;Actor;Ventnor Univ.;
Zillah;E;Unser;49;Red;Brown;4;5;Unk.;cats;Teacher;night school;
Basil;A;Nabors;38;Black;Black;1;4;Unk.;cats;Clerk;Ventnor Univ.;
Zillah;S;Kildare;51;Orange;Green;4;5;Unk.;cats;Sysop;Ventnor Univ.;
Fanny;W;Isaacson;25;Blue;Black;3;1;2;fish, hamsters;Therapist;Ventnor Univ.;
Ida;R;Nichols;71;Black;Green;2;3;4;birds, dogs;Entrepreneur;Saint George;
Prue;E;Unser;72;Brown;Red;0;4;4;birds, dogs;Lumberjack;night school;
George;B;Howards;18;Orange;Blue;4;5;2;fish, hamsters;Singer;night school;
Basil;E;Franklin;59;Blue;Grey;0;3;10;dogs, hamsters;Painter;night school;
Neville;R;Valdez;71;Orange;Grey;2;1;10;dogs, hamsters;Professor;night school;
Rhoda;W;Quincy;25;Red;Green;0;6;0;None;Author;Saint George;
Hector;T;Nichols;45;Grey;Black;3;3;8;birds, fish;Curator;Ventnor Univ.;
Kate;O;Watanabe;44;Brown;Green;0;5;0;None;Busser;Ventnor Univ.;
Victor;I;Charles;39;Grey;Black;3;5;2;fish, hamsters;Busser;Princetonne;
Amy;L;Thomas;34;Orange;Green;4;5;6;Unknown;Curator;Ventnor Univ.;
Clara;M;Quincy;53;Red;Green;3;5;9;Unknown;Tutor;Nelson's Hall;
Hector;O;Brown;44;Black;Green;0;6;8;birds, fish;Lumberjack;Ventnor Univ.;
Xerxes;R;Nabors;71;Black;Green;0;4;Unk.;cats;Lumberjack;night school;
George;Y;Nichols;57;Grey;Red;2;1;10;dogs, hamsters;Illustrator;Ventnor Univ.;
Una;E;Enfield;75;Grey;Black;0;6;7;birds, hamsters;Dishwasher;Nelson's Hall;
Zillah;N;Queen;20;Black;Black;2;3;Unk.;cats;Designer;Saint George;
George;I;Quincy;19;Orange;Grey;0;5;7;birds, hamsters;Anesthiesiologist;Ventnor Univ.;
Zillah;I;Grant;46;Orange;White;0;4;Unk.;cats;Librarian;Princetonne;
Susan;A;Romanov;38;Black;Red;0;4;10;dogs, hamsters;Librarian;Ventnor Univ.;
Titus;W;Johnson;27;Green;White;0;6;6;Unknown;Cook;Ventnor Univ.;
Zillah;R;Thomas;60;Green;Brown;0;4;4;birds, dogs;Cook;night school;
Rhoda;E;Isaacson;49;Orange;Green;0;5;7;birds, hamsters;Valet;Nelson's Hall;
Ernest;U;Kildare;74;Brown;Brown;3;3;Unk.;cats;Chauffeur;night school;
Clara;A;Hanks;66;Green;White;0;4;10;dogs, hamsters;Unemployed;night school;
Neville;M;Sindel;53;Red;Grey;2;1;7;birds, hamsters;Entrepreneur;Ventnor Univ.;
George;P;Unser;58;Red;Green;2;3;7;birds, hamsters;Therapist;night school;
Ida;W;Michaels;27;Green;White;2;3;2;fish, hamsters;Busser;night school;
George;E;Valdez;49;Blue;Black;3;1;7;birds, hamsters;Unemployed;night school;
Quentin;E;Xerxes;42;Red;Grey;3;1;8;birds, fish;Clerk;Princetonne;
Fanny;E;Xerxes;42;Black;Red;3;5;1;hamsters;Chef;UHI-Honolulu;
Ernest;Y;Enfield;55;Brown;Green;3;5;2;fish, hamsters;Wildcat;Princetonne;
Titus;E;Kildare;75;Grey;Black;1;4;2;fish, hamsters;Waiter;Ventnor Univ.;
Quentin;W;Lawrence;27;Brown;Grey;1;4;7;birds, hamsters;Clerk;Ventnor Univ.;
Xerxes;R;Romanov;60;Orange;Brown;2;2;0;None;Entrepreneur;Ventnor Univ.;
Neville;N;Onassis;47;Grey;Red;1;4;7;birds, hamsters;Tutor;Ventnor Univ.;
Susan;Y;Quincy;35;Grey;Green;3;3;6;Unknown;Anesthiesiologist;Ventnor Univ.;
Quentin;S;Unser;31;Brown;Green;1;1;Unk.;cats;Director;night school;
Prue;D;Charles;30;Black;Green;4;5;5;dogs, fish;Therapist;night school;
George;A;Michaels;21;Blue;Black;1;1;0;None;Clerk;Princetonne;
Una;S;Richards;51;Black;Red;3;5;Unk.;cats;Unemployed;Nelson's Hall;
